aggregated_time,vm_value,is_anomaly
10/08/2020 00:33:10,1393.53,FALSE
10/08/2020 00:33:09,1619.72,FALSE
10/08/2020 00:33:08,1727.94,FALSE
10/08/2020 00:33:07,1742.65,FALSE
10/08/2020 00:33:06,1668.32,FALSE
10/08/2020 00:33:05,1694.15,FALSE
10/08/2020 00:33:05,1484.81,FALSE
10/08/2020 00:33:04,1743.37,FALSE
10/08/2020 00:33:03,1549.15,FALSE
10/08/2020 00:33:02,1518.12,FALSE
10/08/2020 00:33:01,1433.51,FALSE
10/08/2020 00:33:00,924.55,FALSE
10/08/2020 00:32:59,1625.65,FALSE
10/08/2020 00:32:58,1671.55,FALSE
10/08/2020 00:32:57,1626.57,FALSE
10/08/2020 00:32:56,2097.38,TRUE
10/08/2020 00:32:55,1106.72,FALSE
10/08/2020 00:32:54,1565.49,FALSE
10/08/2020 00:32:53,1713.63,FALSE
10/08/2020 00:32:52,1134.49,FALSE
10/08/2020 00:32:51,1455.34,FALSE
10/08/2020 00:32:50,1636.24,FALSE
10/08/2020 00:32:49,861.86,TRUE
10/08/2020 00:32:48,1174.42,FALSE
10/08/2020 00:32:47,1161.85,FALSE
10/08/2020 00:32:46,1142.18,FALSE
10/08/2020 00:32:45,1149.35,FALSE
10/08/2020 00:32:44,1091.65,FALSE
10/08/2020 00:32:43,1366.30,FALSE
10/08/2020 00:32:42,1328.36,FALSE
10/08/2020 00:32:41,997.54,FALSE
10/08/2020 00:32:40,1088.66,FALSE
10/08/2020 00:32:39,1217.41,FALSE
10/08/2020 00:32:38,1710.41,FALSE
10/08/2020 00:32:37,915.73,FALSE
10/08/2020 00:32:36,1162.69,FALSE
10/08/2020 00:32:35,1735.04,FALSE
10/08/2020 00:32:34,1599.45,FALSE
10/08/2020 00:32:33,1276.49,FALSE
10/08/2020 00:32:32,1747.04,FALSE
10/08/2020 00:32:31,1594.36,FALSE
10/08/2020 00:32:30,1033.12,FALSE
10/08/2020 00:32:29,1036.40,FALSE
10/08/2020 00:32:28,1576.93,FALSE
10/08/2020 00:32:27,930.28,FALSE
10/08/2020 00:32:26,986.27,FALSE
10/08/2020 00:32:25,1164.67,FALSE
10/08/2020 00:32:24,1655.82,FALSE
10/08/2020 00:32:23,1658.04,FALSE
10/08/2020 00:32:22,1425.01,FALSE
10/08/2020 00:32:21,1571.60,FALSE
10/08/2020 00:32:20,1586.49,FALSE
10/08/2020 00:32:19,1014.20,FALSE
10/08/2020 00:32:18,1008.37,FALSE
10/08/2020 00:32:17,1042.57,FALSE
10/08/2020 00:32:16,1313.50,FALSE
10/08/2020 00:32:15,1280.36,FALSE
10/08/2020 00:32:14,1430.63,FALSE
10/08/2020 00:32:13,1273.27,FALSE
10/08/2020 00:32:12,1038.20,FALSE
10/08/2020 00:32:11,1068.55,FALSE
10/08/2020 00:32:10,1312.21,FALSE
10/08/2020 00:32:09,1224.17,FALSE
10/08/2020 00:32:08,1021.97,FALSE
10/08/2020 00:32:07,1319.35,FALSE
10/08/2020 00:32:06,993.69,FALSE
10/08/2020 00:32:05,1485.86,FALSE
10/08/2020 00:32:04,1070.98,FALSE
10/08/2020 00:32:03,1577.58,FALSE
10/08/2020 00:32:02,1511.64,FALSE
10/08/2020 00:32:01,919.48,FALSE
10/08/2020 00:32:00,1436.12,FALSE
10/08/2020 00:31:59,971.47,FALSE
10/08/2020 00:31:58,1160.42,FALSE
10/08/2020 00:31:57,1721.93,FALSE
10/08/2020 00:31:56,1276.15,FALSE
10/08/2020 00:31:55,1160.00,FALSE
10/08/2020 00:31:54,1166.30,FALSE
10/08/2020 00:31:53,1619.62,FALSE
10/08/2020 00:31:52,940.51,FALSE
10/08/2020 00:31:51,1699.36,FALSE
10/08/2020 00:31:50,1430.56,FALSE
10/08/2020 00:31:49,1712.06,FALSE
10/08/2020 00:31:48,921.08,FALSE
10/08/2020 00:31:47,906.57,FALSE
10/08/2020 00:31:46,1554.43,FALSE
