aggregated_time,temp_value,is_anomaly
10/08/2020 00:33:10,167.76,FALSE
10/08/2020 00:33:09,206.41,FALSE
10/08/2020 00:33:08,234.44,FALSE
10/08/2020 00:33:07,161.96,FALSE
10/08/2020 00:33:06,177.99,FALSE
10/08/2020 00:33:05,202.41,FALSE
10/08/2020 00:33:05,224.28,FALSE
10/08/2020 00:33:04,204.27,FALSE
10/08/2020 00:33:03,168.63,FALSE
10/08/2020 00:33:02,211.87,FALSE
10/08/2020 00:33:01,198.61,FALSE
10/08/2020 00:33:00,233.40,FALSE
10/08/2020 00:32:59,183.94,FALSE
10/08/2020 00:32:58,176.57,FALSE
10/08/2020 00:32:57,193.27,FALSE
10/08/2020 00:32:56,312.45,TRUE
10/08/2020 00:32:55,222.45,FALSE
10/08/2020 00:32:54,225.81,FALSE
10/08/2020 00:32:53,200.11,FALSE
10/08/2020 00:32:52,182.90,FALSE
10/08/2020 00:32:51,166.87,FALSE
10/08/2020 00:32:50,192.54,FALSE
10/08/2020 00:32:49,139.12,TRUE
10/08/2020 00:32:48,237.37,FALSE
10/08/2020 00:32:47,233.59,FALSE
10/08/2020 00:32:46,177.65,FALSE
10/08/2020 00:32:45,163.13,FALSE
10/08/2020 00:32:44,233.10,FALSE
10/08/2020 00:32:43,178.97,FALSE
10/08/2020 00:32:42,180.05,FALSE
10/08/2020 00:32:41,163.51,FALSE
10/08/2020 00:32:40,236.72,FALSE
10/08/2020 00:32:39,220.45,FALSE
10/08/2020 00:32:38,179.28,FALSE
10/08/2020 00:32:37,196.33,FALSE
10/08/2020 00:32:36,162.68,FALSE
10/08/2020 00:32:35,199.36,FALSE
10/08/2020 00:32:34,198.36,FALSE
10/08/2020 00:32:33,212.81,FALSE
10/08/2020 00:32:32,206.39,FALSE
10/08/2020 00:32:31,185.77,FALSE
10/08/2020 00:32:30,162.73,FALSE
10/08/2020 00:32:29,225.47,FALSE
10/08/2020 00:32:28,237.70,FALSE
10/08/2020 00:32:27,179.95,FALSE
10/08/2020 00:32:26,221.16,FALSE
10/08/2020 00:32:25,237.51,FALSE
10/08/2020 00:32:24,198.38,FALSE
10/08/2020 00:32:23,176.04,FALSE
10/08/2020 00:32:22,223.20,FALSE
10/08/2020 00:32:21,198.16,FALSE
10/08/2020 00:32:20,187.62,FALSE
10/08/2020 00:32:19,165.47,FALSE
10/08/2020 00:32:18,220.63,FALSE
10/08/2020 00:32:17,216.68,FALSE
10/08/2020 00:32:16,217.64,FALSE
10/08/2020 00:32:15,180.79,FALSE
10/08/2020 00:32:14,164.87,FALSE
10/08/2020 00:32:13,187.55,FALSE
10/08/2020 00:32:12,166.56,FALSE
10/08/2020 00:32:11,177.14,FALSE
10/08/2020 00:32:10,204.99,FALSE
10/08/2020 00:32:09,185.13,FALSE
10/08/2020 00:32:08,195.44,FALSE
10/08/2020 00:32:07,187.04,FALSE
10/08/2020 00:32:06,174.16,FALSE
10/08/2020 00:32:05,223.73,FALSE
10/08/2020 00:32:04,222.97,FALSE
10/08/2020 00:32:03,220.39,FALSE
10/08/2020 00:32:02,175.85,FALSE
10/08/2020 00:32:01,170.49,FALSE
10/08/2020 00:32:00,201.30,FALSE
10/08/2020 00:31:59,161.05,FALSE
10/08/2020 00:31:58,222.54,FALSE
10/08/2020 00:31:57,222.51,FALSE
10/08/2020 00:31:56,223.95,FALSE
10/08/2020 00:31:55,168.12,FALSE
10/08/2020 00:31:54,225.36,FALSE
10/08/2020 00:31:53,168.57,FALSE
10/08/2020 00:31:52,238.41,FALSE
10/08/2020 00:31:51,179.70,FALSE
10/08/2020 00:31:50,216.68,FALSE
10/08/2020 00:31:49,169.14,FALSE
10/08/2020 00:31:48,213.27,FALSE
10/08/2020 00:31:47,183.31,FALSE
