aggregated_time,vt_value,is_anomaly
10/08/2020 00:33:10,0.84,FALSE
10/08/2020 00:33:09,1.58,FALSE
10/08/2020 00:33:08,1.41,FALSE
10/08/2020 00:33:07,1.07,FALSE
10/08/2020 00:33:06,1.76,FALSE
10/08/2020 00:33:05,0.45,FALSE
10/08/2020 00:33:05,0.54,FALSE
10/08/2020 00:33:04,1.00,FALSE
10/08/2020 00:33:03,1.75,FALSE
10/08/2020 00:33:02,1.57,FALSE
10/08/2020 00:33:01,1.38,FALSE
10/08/2020 00:33:00,1.24,FALSE
10/08/2020 00:32:59,0.93,FALSE
10/08/2020 00:32:58,1.28,FALSE
10/08/2020 00:32:57,0.36,FALSE
10/08/2020 00:32:56,3.12,TRUE
10/08/2020 00:32:55,1.03,FALSE
10/08/2020 00:32:54,1.13,FALSE
10/08/2020 00:32:53,0.45,FALSE
10/08/2020 00:32:52,1.48,FALSE
10/08/2020 00:32:51,1.34,FALSE
10/08/2020 00:32:50,1.16,FALSE
10/08/2020 00:32:49,-0.42,TRUE
10/08/2020 00:32:48,1.05,FALSE
10/08/2020 00:32:47,1.20,FALSE
10/08/2020 00:32:46,1.90,FALSE
10/08/2020 00:32:45,0.92,FALSE
10/08/2020 00:32:44,1.64,FALSE
10/08/2020 00:32:43,1.13,FALSE
10/08/2020 00:32:42,1.87,FALSE
10/08/2020 00:32:41,0.83,FALSE
10/08/2020 00:32:40,0.85,FALSE
10/08/2020 00:32:39,1.31,FALSE
10/08/2020 00:32:38,1.12,FALSE
10/08/2020 00:32:37,1.11,FALSE
10/08/2020 00:32:36,1.23,FALSE
10/08/2020 00:32:35,0.89,FALSE
10/08/2020 00:32:34,0.36,FALSE
10/08/2020 00:32:33,1.55,FALSE
10/08/2020 00:32:32,0.77,FALSE
10/08/2020 00:32:31,1.18,FALSE
10/08/2020 00:32:30,0.44,FALSE
10/08/2020 00:32:29,0.80,FALSE
10/08/2020 00:32:28,0.32,FALSE
10/08/2020 00:32:27,1.54,FALSE
10/08/2020 00:32:26,1.68,FALSE
10/08/2020 00:32:25,1.39,FALSE
10/08/2020 00:32:24,1.51,FALSE
10/08/2020 00:32:23,1.44,FALSE
10/08/2020 00:32:22,0.74,FALSE
10/08/2020 00:32:21,0.81,FALSE
10/08/2020 00:32:20,1.06,FALSE
10/08/2020 00:32:19,1.26,FALSE
10/08/2020 00:32:18,1.81,FALSE
10/08/2020 00:32:17,1.72,FALSE
10/08/2020 00:32:16,1.20,FALSE
10/08/2020 00:32:15,0.93,FALSE
10/08/2020 00:32:14,0.87,FALSE
10/08/2020 00:32:13,1.74,FALSE
10/08/2020 00:32:12,1.42,FALSE
10/08/2020 00:32:11,0.36,FALSE
10/08/2020 00:32:10,1.62,FALSE
10/08/2020 00:32:09,1.56,FALSE
10/08/2020 00:32:08,1.23,FALSE
10/08/2020 00:32:07,0.66,FALSE
10/08/2020 00:32:06,1.88,FALSE
10/08/2020 00:32:05,1.42,FALSE
10/08/2020 00:32:04,0.69,FALSE
10/08/2020 00:32:03,1.27,FALSE
10/08/2020 00:32:02,0.44,FALSE
10/08/2020 00:32:01,0.40,FALSE
10/08/2020 00:32:00,0.32,FALSE
10/08/2020 00:31:59,0.92,FALSE
10/08/2020 00:31:58,0.99,FALSE
10/08/2020 00:31:57,1.08,FALSE
10/08/2020 00:31:56,1.83,FALSE
10/08/2020 00:31:55,1.01,FALSE
10/08/2020 00:31:54,1.53,FALSE
10/08/2020 00:31:53,0.84,FALSE
10/08/2020 00:31:52,1.46,FALSE
10/08/2020 00:31:51,1.73,FALSE
10/08/2020 00:31:50,1.95,FALSE
