aggregated_time,vt_value,is_anomaly
10/08/2020 00:33:10,2.22,FALSE
10/08/2020 00:33:09,1.39,FALSE
10/08/2020 00:33:08,5.17,FALSE
10/08/2020 00:33:07,4.98,FALSE
10/08/2020 00:33:06,4.18,FALSE
10/08/2020 00:33:05,3.77,FALSE
10/08/2020 00:33:05,2.98,FALSE
10/08/2020 00:33:04,1.48,FALSE
10/08/2020 00:33:03,2.51,FALSE
10/08/2020 00:33:02,5.29,FALSE
10/08/2020 00:33:01,2.72,FALSE
10/08/2020 00:33:00,1.71,FALSE
10/08/2020 00:32:59,2.79,FALSE
10/08/2020 00:32:58,3.67,FALSE
10/08/2020 00:32:57,3.85,FALSE
10/08/2020 00:32:56,7.12,TRUE
10/08/2020 00:32:55,4.61,FALSE
10/08/2020 00:32:54,1.48,FALSE
10/08/2020 00:32:53,4.53,FALSE
10/08/2020 00:32:52,1.56,FALSE
10/08/2020 00:32:51,2.34,FALSE
10/08/2020 00:32:50,1.95,FALSE
10/08/2020 00:32:49,-1.63,TRUE
10/08/2020 00:32:48,1.97,FALSE
10/08/2020 00:32:47,5.90,FALSE
10/08/2020 00:32:46,3.82,FALSE
10/08/2020 00:32:45,4.16,FALSE
10/08/2020 00:32:44,4.79,FALSE
10/08/2020 00:32:43,2.39,FALSE
10/08/2020 00:32:42,1.63,FALSE
10/08/2020 00:32:41,1.47,FALSE
10/08/2020 00:32:40,5.36,FALSE
10/08/2020 00:32:39,5.97,FALSE
10/08/2020 00:32:38,4.02,FALSE
10/08/2020 00:32:37,3.15,FALSE
10/08/2020 00:32:36,1.14,FALSE
10/08/2020 00:32:35,2.66,FALSE
10/08/2020 00:32:34,3.53,FALSE
10/08/2020 00:32:33,2.77,FALSE
10/08/2020 00:32:32,2.01,FALSE
10/08/2020 00:32:31,2.44,FALSE
10/08/2020 00:32:30,4.98,FALSE
10/08/2020 00:32:29,5.98,FALSE
10/08/2020 00:32:28,4.71,FALSE
10/08/2020 00:32:27,3.09,FALSE
10/08/2020 00:32:26,2.16,FALSE
10/08/2020 00:32:25,2.00,FALSE
10/08/2020 00:32:24,3.57,FALSE
10/08/2020 00:32:23,1.38,FALSE
10/08/2020 00:32:22,4.34,FALSE
10/08/2020 00:32:21,3.16,FALSE
10/08/2020 00:32:20,3.54,FALSE
10/08/2020 00:32:19,2.46,FALSE
10/08/2020 00:32:18,4.86,FALSE
10/08/2020 00:32:17,2.39,FALSE
10/08/2020 00:32:16,1.14,FALSE
10/08/2020 00:32:15,1.80,FALSE
10/08/2020 00:32:14,4.54,FALSE
10/08/2020 00:32:13,1.23,FALSE
10/08/2020 00:32:12,4.78,FALSE
10/08/2020 00:32:11,4.76,FALSE
10/08/2020 00:32:10,3.13,FALSE
10/08/2020 00:32:09,5.46,FALSE
10/08/2020 00:32:08,1.79,FALSE
10/08/2020 00:32:07,3.89,FALSE
10/08/2020 00:32:06,1.81,FALSE
