aggregated_time,poids_value,is_anomaly
10/08/2020 00:33:10,1.91,FALSE
10/08/2020 00:33:09,4.70,FALSE
10/08/2020 00:33:08,3.90,FALSE
10/08/2020 00:33:07,3.12,FALSE
10/08/2020 00:33:06,3.39,FALSE
10/08/2020 00:33:05,3.00,FALSE
10/08/2020 00:33:05,2.59,FALSE
10/08/2020 00:33:04,1.25,FALSE
10/08/2020 00:33:03,1.26,FALSE
10/08/2020 00:33:02,4.31,FALSE
10/08/2020 00:33:01,3.81,FALSE
10/08/2020 00:33:00,4.13,FALSE
10/08/2020 00:32:59,1.37,FALSE
10/08/2020 00:32:58,2.69,FALSE
10/08/2020 00:32:57,2.88,FALSE
10/08/2020 00:32:56,6.49,TRUE
10/08/2020 00:32:55,1.07,FALSE
10/08/2020 00:32:54,1.93,FALSE
10/08/2020 00:32:53,2.00,FALSE
10/08/2020 00:32:52,1.90,FALSE
10/08/2020 00:32:51,2.95,FALSE
10/08/2020 00:32:50,2.58,FALSE
10/08/2020 00:32:49,0.85,TRUE
10/08/2020 00:32:48,2.32,FALSE
10/08/2020 00:32:47,3.63,FALSE
10/08/2020 00:32:46,2.61,FALSE
10/08/2020 00:32:45,1.32,FALSE
10/08/2020 00:32:44,3.08,FALSE
10/08/2020 00:32:43,1.94,FALSE
10/08/2020 00:32:42,2.14,FALSE
10/08/2020 00:32:41,4.68,FALSE
10/08/2020 00:32:40,4.79,FALSE
10/08/2020 00:32:39,4.41,FALSE
10/08/2020 00:32:38,3.37,FALSE
10/08/2020 00:32:37,1.67,FALSE
10/08/2020 00:32:36,2.95,FALSE
10/08/2020 00:32:35,2.84,FALSE
10/08/2020 00:32:34,4.68,FALSE
10/08/2020 00:32:33,1.61,FALSE
10/08/2020 00:32:32,4.66,FALSE
10/08/2020 00:32:31,4.87,FALSE
10/08/2020 00:32:30,4.93,FALSE
10/08/2020 00:32:29,4.10,FALSE
10/08/2020 00:32:28,1.86,FALSE
10/08/2020 00:32:27,4.64,FALSE
10/08/2020 00:32:26,3.17,FALSE
10/08/2020 00:32:25,2.65,FALSE
10/08/2020 00:32:24,4.85,FALSE
10/08/2020 00:32:23,3.10,FALSE
10/08/2020 00:32:22,3.32,FALSE
10/08/2020 00:32:21,3.58,FALSE
10/08/2020 00:32:20,2.58,FALSE
10/08/2020 00:32:19,4.06,FALSE
10/08/2020 00:32:18,4.32,FALSE
10/08/2020 00:32:17,4.70,FALSE
10/08/2020 00:32:16,1.86,FALSE
10/08/2020 00:32:15,3.69,FALSE
10/08/2020 00:32:14,1.32,FALSE
10/08/2020 00:32:13,2.20,FALSE
10/08/2020 00:32:12,3.10,FALSE
10/08/2020 00:32:11,3.66,FALSE
10/08/2020 00:32:10,3.09,FALSE
10/08/2020 00:32:09,2.34,FALSE
10/08/2020 00:32:08,3.13,FALSE
10/08/2020 00:32:07,2.05,FALSE
10/08/2020 00:32:06,2.03,FALSE
10/08/2020 00:32:05,1.33,FALSE
10/08/2020 00:32:04,3.72,FALSE
10/08/2020 00:32:03,1.56,FALSE
10/08/2020 00:32:02,4.25,FALSE
10/08/2020 00:32:01,1.18,FALSE
10/08/2020 00:32:00,3.77,FALSE
10/08/2020 00:31:59,1.96,FALSE
10/08/2020 00:31:58,2.34,FALSE
10/08/2020 00:31:57,3.68,FALSE
10/08/2020 00:31:56,2.38,FALSE
10/08/2020 00:31:55,3.59,FALSE
10/08/2020 00:31:54,2.41,FALSE
10/08/2020 00:31:53,2.97,FALSE
10/08/2020 00:31:52,3.10,FALSE
10/08/2020 00:31:51,4.84,FALSE
10/08/2020 00:31:50,1.33,FALSE
10/08/2020 00:31:49,4.94,FALSE
10/08/2020 00:31:48,2.27,FALSE
10/08/2020 00:31:47,2.39,FALSE
10/08/2020 00:31:46,1.27,FALSE
10/08/2020 00:31:45,1.68,FALSE
10/08/2020 00:31:44,1.52,FALSE
10/08/2020 00:31:43,1.44,FALSE
10/08/2020 00:31:42,3.77,FALSE
10/08/2020 00:31:41,3.85,FALSE
10/08/2020 00:31:40,2.41,FALSE
10/08/2020 00:31:39,1.44,FALSE
10/08/2020 00:31:38,4.93,FALSE
10/08/2020 00:31:37,1.61,FALSE
10/08/2020 00:31:36,4.49,FALSE
10/08/2020 00:31:35,3.86,FALSE
10/08/2020 00:31:34,3.97,FALSE
10/08/2020 00:31:33,4.04,FALSE
10/08/2020 00:31:32,3.30,FALSE
10/08/2020 00:31:31,1.07,FALSE
10/08/2020 00:31:30,4.82,FALSE
10/08/2020 00:31:29,-2.47,TRUE
10/08/2020 00:31:28,1.29,FALSE
10/08/2020 00:31:27,1.62,FALSE
10/08/2020 00:31:26,1.27,FALSE
10/08/2020 00:31:25,3.00,FALSE
10/08/2020 00:31:24,4.08,FALSE
10/08/2020 00:31:23,1.21,FALSE
10/08/2020 00:31:22,1.71,FALSE
10/08/2020 00:31:21,4.63,FALSE
10/08/2020 00:31:20,4.29,FALSE
10/08/2020 00:31:19,8.95,TRUE
10/08/2020 00:31:18,3.27,FALSE
10/08/2020 00:31:17,1.89,FALSE
10/08/2020 00:31:16,3.89,FALSE
10/08/2020 00:31:15,3.57,FALSE
10/08/2020 00:31:14,4.17,FALSE
10/08/2020 00:31:13,2.95,FALSE
10/08/2020 00:31:12,3.00,FALSE
10/08/2020 00:31:11,4.77,FALSE
10/08/2020 00:31:10,2.48,FALSE
10/08/2020 00:31:09,1.38,FALSE
10/08/2020 00:31:08,2.51,FALSE
10/08/2020 00:31:07,2.27,FALSE
10/08/2020 00:31:06,4.18,FALSE
10/08/2020 00:31:05,3.47,FALSE
10/08/2020 00:31:04,3.16,FALSE
10/08/2020 00:31:03,4.93,FALSE
10/08/2020 00:31:02,1.47,FALSE
10/08/2020 00:31:01,2.11,FALSE
10/08/2020 00:31:00,3.22,FALSE
10/08/2020 00:30:59,3.09,FALSE
10/08/2020 00:30:58,3.38,FALSE
10/08/2020 00:30:57,1.57,FALSE
10/08/2020 00:30:56,2.89,FALSE
10/08/2020 00:30:55,1.40,FALSE
10/08/2020 00:30:54,3.80,FALSE
10/08/2020 00:30:53,2.52,FALSE
10/08/2020 00:30:52,1.77,FALSE
10/08/2020 00:30:51,1.77,FALSE
10/08/2020 00:30:50,4.54,FALSE
10/08/2020 00:30:49,1.14,FALSE
10/08/2020 00:30:48,4.34,FALSE
10/08/2020 00:30:47,1.83,FALSE
10/08/2020 00:30:46,1.37,FALSE
10/08/2020 00:30:45,1.96,FALSE
10/08/2020 00:30:44,2.33,FALSE
10/08/2020 00:30:43,2.82,FALSE
10/08/2020 00:30:42,1.82,FALSE
10/08/2020 00:30:41,3.79,FALSE
10/08/2020 00:30:40,2.87,FALSE
10/08/2020 00:30:39,3.15,FALSE
10/08/2020 00:30:38,3.77,FALSE
10/08/2020 00:30:37,4.55,FALSE
10/08/2020 00:30:36,3.52,FALSE
10/08/2020 00:30:35,3.65,FALSE
10/08/2020 00:30:34,2.04,FALSE
10/08/2020 00:30:33,4.10,FALSE
10/08/2020 00:30:32,4.51,FALSE
10/08/2020 00:30:31,3.17,FALSE
10/08/2020 00:30:30,1.92,FALSE
10/08/2020 00:30:29,3.83,FALSE
10/08/2020 00:30:28,2.53,FALSE
10/08/2020 00:30:27,1.87,FALSE
10/08/2020 00:30:26,1.76,FALSE
10/08/2020 00:30:25,4.34,FALSE
10/08/2020 00:30:24,1.60,FALSE
10/08/2020 00:30:23,2.48,FALSE
10/08/2020 00:30:22,4.80,FALSE
10/08/2020 00:30:21,4.78,FALSE
10/08/2020 00:30:20,2.21,FALSE
10/08/2020 00:30:19,4.52,FALSE
10/08/2020 00:30:18,1.77,FALSE
10/08/2020 00:30:17,2.75,FALSE
10/08/2020 00:30:16,1.62,FALSE
10/08/2020 00:30:15,4.59,FALSE
10/08/2020 00:30:14,3.65,FALSE
10/08/2020 00:30:13,1.94,FALSE
10/08/2020 00:30:12,-1.63,TRUE
10/08/2020 00:30:11,4.57,FALSE
10/08/2020 00:30:10,4.50,FALSE
10/08/2020 00:30:09,3.08,FALSE
10/08/2020 00:30:08,4.24,FALSE
10/08/2020 00:30:07,3.65,FALSE
10/08/2020 00:30:06,3.22,FALSE
10/08/2020 00:30:05,3.90,FALSE
10/08/2020 00:30:04,-1.28,TRUE
10/08/2020 00:30:03,4.63,FALSE
10/08/2020 00:30:02,4.36,FALSE
10/08/2020 00:30:01,4.19,FALSE
10/08/2020 00:30:00,2.01,FALSE
10/08/2020 00:29:59,2.12,FALSE
10/08/2020 00:29:58,2.30,FALSE
10/08/2020 00:29:57,3.64,FALSE
10/08/2020 00:29:56,4.00,FALSE
10/08/2020 00:29:55,4.71,FALSE
10/08/2020 00:29:54,3.59,FALSE
10/08/2020 00:29:53,2.14,FALSE
10/08/2020 00:29:52,4.43,FALSE
10/08/2020 00:29:51,4.95,FALSE
10/08/2020 00:29:50,8.28,TRUE
10/08/2020 00:29:49,4.06,FALSE
10/08/2020 00:29:48,4.11,FALSE
10/08/2020 00:29:47,4.25,FALSE
10/08/2020 00:29:46,4.05,FALSE
10/08/2020 00:29:46,2.09,FALSE
10/08/2020 00:29:45,2.71,FALSE
10/08/2020 00:29:44,2.37,FALSE
10/08/2020 00:29:43,1.84,FALSE
10/08/2020 00:29:42,3.59,FALSE
10/08/2020 00:29:41,2.66,FALSE
10/08/2020 00:29:40,4.84,FALSE
10/08/2020 00:29:39,2.38,FALSE
10/08/2020 00:29:38,1.99,FALSE
10/08/2020 00:29:37,1.56,FALSE
10/08/2020 00:29:36,3.01,FALSE
10/08/2020 00:29:35,1.95,FALSE
10/08/2020 00:29:34,1.74,FALSE
10/08/2020 00:29:33,7.44,TRUE
10/08/2020 00:29:32,1.90,FALSE
10/08/2020 00:29:31,3.12,FALSE
10/08/2020 00:29:30,3.15,FALSE
10/08/2020 00:29:29,1.58,FALSE
10/08/2020 00:29:28,4.27,FALSE
10/08/2020 00:29:27,1.13,FALSE
10/08/2020 00:29:26,3.46,FALSE
10/08/2020 00:29:25,1.65,FALSE
10/08/2020 00:29:24,1.20,FALSE
10/08/2020 00:29:23,4.08,FALSE
10/08/2020 00:29:22,4.47,FALSE
10/08/2020 00:29:21,1.11,FALSE
10/08/2020 00:29:20,1.89,FALSE
10/08/2020 00:29:19,1.14,FALSE
10/08/2020 00:29:18,-2.47,TRUE
10/08/2020 00:29:17,4.69,FALSE
10/08/2020 00:29:16,2.26,FALSE
10/08/2020 00:29:15,2.59,FALSE
10/08/2020 00:29:14,1.25,FALSE
10/08/2020 00:29:13,3.83,FALSE
10/08/2020 00:29:12,3.41,FALSE
10/08/2020 00:29:11,2.95,FALSE
10/08/2020 00:29:10,1.66,FALSE
10/08/2020 00:29:09,3.67,FALSE
10/08/2020 00:29:08,1.90,FALSE
10/08/2020 00:29:07,3.57,FALSE
10/08/2020 00:29:06,3.81,FALSE
10/08/2020 00:29:05,1.02,FALSE
10/08/2020 00:29:04,1.67,FALSE
10/08/2020 00:29:03,3.64,FALSE
10/08/2020 00:29:02,2.40,FALSE
10/08/2020 00:29:01,3.70,FALSE
10/08/2020 00:29:00,4.33,FALSE
10/08/2020 00:28:59,4.22,FALSE
10/08/2020 00:28:58,3.42,FALSE
10/08/2020 00:28:57,4.88,FALSE
10/08/2020 00:28:56,2.68,FALSE
10/08/2020 00:28:55,1.98,FALSE
10/08/2020 00:28:54,4.66,FALSE
10/08/2020 00:28:53,2.18,FALSE
10/08/2020 00:28:52,2.03,FALSE
10/08/2020 00:28:51,4.42,FALSE
10/08/2020 00:28:50,1.15,FALSE
10/08/2020 00:28:49,4.22,FALSE
10/08/2020 00:28:48,2.91,FALSE
