aggregated_time,vm_value,is_anomaly
10/08/2020 00:33:10,922.43,FALSE
10/08/2020 00:33:09,1456.14,FALSE
10/08/2020 00:33:08,1600.23,FALSE
10/08/2020 00:33:07,1668.86,FALSE
10/08/2020 00:33:06,1514.53,FALSE
10/08/2020 00:33:05,1737.81,FALSE
10/08/2020 00:33:05,1056.85,FALSE
10/08/2020 00:33:04,1496.14,FALSE
10/08/2020 00:33:03,1157.67,FALSE
10/08/2020 00:33:02,1242.16,FALSE
10/08/2020 00:33:01,1457.15,FALSE
10/08/2020 00:33:00,1192.41,FALSE
10/08/2020 00:32:59,915.06,FALSE
10/08/2020 00:32:58,1221.09,FALSE
10/08/2020 00:32:57,1176.61,FALSE
10/08/2020 00:32:56,2389.92,TRUE
10/08/2020 00:32:55,1568.55,FALSE
10/08/2020 00:32:54,1085.58,FALSE
10/08/2020 00:32:53,1457.57,FALSE
10/08/2020 00:32:52,1721.15,FALSE
10/08/2020 00:32:51,1098.15,FALSE
10/08/2020 00:32:50,1457.00,FALSE
10/08/2020 00:32:49,467.11,TRUE
10/08/2020 00:32:48,1405.94,FALSE
10/08/2020 00:32:47,1581.18,FALSE
10/08/2020 00:32:46,1005.15,FALSE
10/08/2020 00:32:45,1623.95,FALSE
10/08/2020 00:32:44,1360.24,FALSE
10/08/2020 00:32:43,961.03,FALSE
10/08/2020 00:32:42,1331.09,FALSE
10/08/2020 00:32:41,1093.78,FALSE
10/08/2020 00:32:40,1230.27,FALSE
10/08/2020 00:32:39,1105.37,FALSE
10/08/2020 00:32:38,1251.14,FALSE
10/08/2020 00:32:37,980.77,FALSE
10/08/2020 00:32:36,1366.75,FALSE
10/08/2020 00:32:35,975.84,FALSE
10/08/2020 00:32:34,1642.62,FALSE
10/08/2020 00:32:33,1276.25,FALSE
10/08/2020 00:32:32,1078.62,FALSE
10/08/2020 00:32:31,928.57,FALSE
10/08/2020 00:32:30,1060.31,FALSE
10/08/2020 00:32:29,966.60,FALSE
10/08/2020 00:32:28,989.49,FALSE
10/08/2020 00:32:27,1454.45,FALSE
10/08/2020 00:32:26,1066.84,FALSE
